industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
Q,9,9,2,3,0,1,1,1,3,0,1,1,1,1,1,5,2,4,3,1,1,1,5,2,1,0,650.0
B,1,18,1,13,6,5,5,1,1,2,4,5,13,1,6,3,2,5,4,4,5,4,5,1,4,2,14166.666667
P,5,14,2,11,4,5,5,2,1,0,1,3,7,1,5,2,2,5,2,5,4,2,1,1,1,1,1500.8333333
I,5,9,2,3,0,5,5,1,2,0,3,4,3,3,1,5,4,4,5,5,4,5,5,1,1,2,1083.3333333
Q,2,16,1,12,5,2,1,1,1,1,5,5,12,1,3,3,1,5,2,5,4,1,5,1,5,3,5416.6666667
F,1,16,1,12,1,5,5,1,1,5,5,5,12,2,3,5,1,5,5,5,5,1,5,1,2,1,10833.333333
J,3,18,1,13,5,5,4,1,2,0,4,4,13,2,6,3,2,4,3,5,4,1,5,1,5,2,11500.0
Q,3,16,2,12,4,1,1,1,3,0,5,1,9,2,4,4,2,2,2,5,3,2,1,1,2,2,1333.3333333
Q,3,12,2,7,9,3,1,1,2,3,3,5,7,1,3,5,2,5,5,5,5,3,5,1,5,2,2210.0
H,4,12,2,7,4,1,4,1,3,0,1,3,7,1,1,5,2,5,5,5,1,5,5,1,1,2,1733.3333333
C,8,12,1,7,1,1,1,1,2,0,1,1,3,1,3,1,2,3,3,2,3,4,5,1,1,1,2288.0
Q,2,14,2,11,4,2,1,3,1,0,1,4,7,1,5,4,2,5,4,5,3,4,4,1,2,2,2616.6666667
I,5,12,2,7,4,5,5,1,3,0,2,2,7,1,3,4,3,5,4,3,3,5,5,2,1,0,227.5
J,2,18,1,13,6,1,1,1,1,0,2,3,12,1,5,1,3,3,2,4,2,1,1,1,2,2,5350.0
G,5,12,1,7,2,5,5,1,3,1,4,4,9,1,6,5,2,5,4,5,5,5,5,1,2,2,3631.1666667
C,8,12,2,7,1,4,1,1,1,0,1,5,7,1,1,4,3,5,1,3,1,5,5,2,1,0,1341.6666667
G,5,9,2,3,0,4,1,1,2,0,5,1,1,1,1,2,2,4,1,1,1,5,5,2,1,0,722.22222222
G,5,9,2,3,0,5,5,1,3,3,2,3,7,1,4,5,1,5,5,5,2,5,5,1,1,2,3092.4
H,1,14,1,11,5,5,5,1,1,4,2,5,11,2,6,5,1,5,4,5,5,5,5,1,1,2,5975.0
F,7,12,1,7,6,1,1,1,3,0,2,2,9,1,5,3,2,3,3,5,4,5,5,2,1,0,4008.3333333
C,7,13,1,9,6,1,1,1,3,0,1,1,7,3,5,4,2,2,1,4,2,5,5,2,1,0,2426.6666667
O,3,12,2,7,1,1,1,2,3,3,1,3,9,2,5,2,1,5,5,5,4,1,5,1,1,2,4650.0
I,5,12,2,7,4,3,1,1,3,0,4,4,7,3,4,1,4,1,1,4,1,2,5,2,1,0,975.0
G,5,9,2,3,0,5,5,1,2,1,1,2,7,1,5,3,2,5,4,5,2,5,5,1,1,1,1956.6666667
L,3,12,2,7,8,1,5,1,3,0,4,4,7,3,1,5,1,5,1,5,5,1,5,1,1,2,2225.0
C,7,14,1,11,6,5,1,1,3,0,3,3,7,2,5,4,2,5,3,5,4,5,5,1,1,1,4810.0
F,9,12,1,7,1,2,1,2,3,0,2,3,1,1,3,2,2,3,2,4,3,5,5,2,1,0,2600.0
I,9,9,1,3,0,1,1,1,3,0,3,4,3,3,3,5,2,4,1,3,2,5,5,1,1,1,2166.6666667
P,2,18,2,13,2,1,1,2,3,0,4,3,12,1,5,1,1,3,1,1,1,1,1,2,1,0,3250.0
G,1,16,1,12,5,5,4,1,2,3,5,5,12,1,6,4,2,5,5,2,3,1,3,1,4,2,12500.0
C,2,16,2,12,4,3,2,1,1,0,4,5,9,2,6,3,1,5,3,5,3,1,5,1,3,2,5416.6666667
A,6,12,1,7,7,2,3,1,3,2,3,3,7,1,6,2,2,4,4,4,2,5,5,1,1,1,4058.3333333
M,1,16,2,12,4,3,2,1,1,3,4,4,12,3,6,3,1,4,4,5,4,2,5,1,2,2,12083.333333
C,7,14,1,11,6,1,1,1,2,0,3,2,9,1,5,2,2,4,4,2,4,2,5,1,1,3,5061.6666667
K,2,12,1,7,4,4,1,2,2,0,3,5,12,2,5,5,1,3,4,2,4,1,5,1,5,2,6000.0
H,3,12,1,7,6,1,1,1,3,3,2,4,7,1,1,4,2,1,2,1,3,5,5,1,2,1,5239.3333333
J,5,16,1,12,4,5,1,1,3,0,3,5,7,1,1,2,2,5,4,4,2,1,1,1,1,1,2666.6666667
C,8,12,1,7,1,1,4,2,2,0,1,4,1,1,1,2,3,1,2,5,4,5,5,2,1,0,2383.3333333
P,2,18,2,13,2,4,2,2,3,0,2,4,12,1,5,5,2,5,2,4,2,2,5,1,2,2,3941.6666667
N,9,13,1,9,6,4,1,1,3,0,1,4,7,1,3,3,2,4,4,5,4,5,5,2,1,0,1671.6666667
M,3,16,2,15,4,5,1,1,3,0,4,4,12,2,4,5,4,5,2,5,4,2,2,1,5,2,8125.0
J,1,16,1,12,5,4,3,1,2,4,5,4,12,1,6,4,2,5,4,5,4,1,5,1,5,2,11666.666667
Q,2,21,1,14,5,5,1,2,1,0,1,3,14,1,1,4,2,4,3,4,2,1,5,1,2,1,10400.0
C,5,14,2,11,1,5,3,1,1,1,2,2,7,2,6,5,1,4,4,5,5,1,5,1,1,2,4500.0
Q,2,16,2,12,9,5,5,1,3,1,2,3,12,2,4,5,2,5,5,5,5,5,5,1,2,1,5716.0
F,7,9,1,3,0,5,1,1,1,0,3,3,1,1,1,5,2,4,5,5,5,5,5,2,1,0,1733.3333333
E,3,13,2,9,9,3,4,2,1,0,2,4,9,2,5,3,1,4,2,4,4,2,5,1,2,2,3643.6666667
I,1,14,1,11,9,3,4,1,1,3,2,5,12,2,1,3,2,5,5,5,5,4,5,1,5,2,6833.3333333
I,9,9,2,3,0,5,3,1,3,0,2,4,3,3,5,2,2,5,4,4,3,5,5,1,1,2,810.33333333
H,8,12,2,7,4,3,2,3,3,0,5,3,7,2,1,2,4,3,2,3,1,5,5,1,5,1,2315.0
I,5,12,2,7,1,5,1,1,1,0,4,2,7,2,3,1,3,5,2,5,1,5,5,1,1,1,2600.0
Q,2,16,2,12,5,4,4,2,3,1,4,3,12,1,6,5,1,5,2,5,5,1,5,1,5,3,8333.3333333
G,5,16,2,12,4,5,5,1,2,0,4,4,1,1,1,5,4,4,3,5,3,5,5,1,1,1,1430.0
F,7,12,1,7,1,4,5,1,3,1,2,3,7,1,5,5,2,5,5,4,4,5,5,1,1,1,2946.6666667
J,7,16,1,12,3,5,2,1,1,0,4,3,7,1,3,5,1,5,4,5,4,5,5,1,3,1,3866.6666667
P,3,12,1,7,1,1,1,3,3,0,3,3,7,1,1,1,2,1,1,4,2,2,1,1,1,2,1289.1666667
P,1,18,2,13,8,2,3,3,3,2,5,4,14,1,6,3,1,3,4,5,3,2,5,1,4,2,7500.0
I,5,14,1,11,5,1,1,1,1,0,5,3,3,2,3,2,3,4,2,3,2,5,5,2,1,0,736.66666667
C,7,14,1,11,6,5,1,1,3,0,1,3,3,1,3,4,2,5,4,5,4,2,5,2,1,0,3565.28
R,5,12,2,7,1,5,5,1,2,0,2,4,7,1,4,4,2,5,4,5,4,4,5,1,1,1,3033.3333333
I,9,9,1,3,0,1,1,1,3,0,3,2,7,1,1,1,1,1,1,1,1,5,1,2,1,0,1040.0
K,1,13,1,9,5,1,4,1,1,1,3,2,12,1,6,3,2,5,5,4,4,1,5,1,4,2,6083.3333333
Q,2,16,2,12,1,5,5,1,3,0,2,2,7,1,6,5,2,4,3,5,4,5,5,1,1,2,3683.3333333
K,3,12,2,7,4,1,1,1,3,0,3,3,7,1,5,5,2,1,2,4,2,1,5,1,1,2,6041.6666667
Q,3,12,2,7,8,5,1,1,2,0,1,3,9,1,3,5,1,2,4,5,5,5,5,1,1,2,2674.1666667
C,9,12,1,7,1,1,1,1,3,0,1,2,7,1,1,1,3,1,1,1,2,5,5,1,1,1,1256.6666667
Q,3,12,2,7,2,1,5,1,1,1,1,3,7,2,5,5,2,3,4,2,4,2,5,1,1,1,2436.0
M,1,16,1,12,5,3,3,1,3,1,1,4,12,2,1,3,4,4,2,4,2,4,4,1,2,2,4900.0
Q,2,16,2,12,8,5,1,2,3,0,1,4,9,1,5,4,4,5,3,5,3,3,5,1,2,2,1000.0
Q,1,16,2,12,3,5,5,1,3,2,1,3,11,1,6,2,2,5,5,5,5,1,5,1,1,2,3200.0
I,5,16,1,12,4,3,5,1,3,3,3,5,7,2,1,5,2,5,5,5,1,5,5,2,1,0,12035.866667
Q,2,19,2,13,7,5,2,3,1,0,2,3,13,1,1,3,4,3,2,5,2,4,5,1,2,2,37500.0
P,1,12,2,7,2,2,1,3,1,0,2,3,12,2,6,2,1,1,3,5,4,1,1,1,2,2,7700.0
Q,5,13,2,9,8,5,5,2,3,0,2,3,7,1,2,5,2,5,4,5,2,5,5,2,1,0,1502.5
P,2,18,2,13,2,5,5,2,1,0,1,3,12,1,3,3,3,1,5,5,4,1,1,1,1,2,4333.3333333
C,4,12,1,7,4,5,1,1,1,0,2,3,7,1,5,3,1,5,3,5,4,1,5,1,4,2,3118.3333333
N,9,9,1,3,0,1,1,1,3,0,2,4,1,1,3,1,4,1,1,2,1,5,5,2,1,0,390.0
G,9,14,1,11,4,4,4,3,3,0,4,5,11,1,5,4,1,5,4,5,4,2,5,1,4,2,4583.3333333
D,2,16,1,12,6,5,5,1,3,0,4,3,12,1,6,5,2,4,4,4,4,4,2,1,1,1,5166.6666667
F,9,12,1,7,1,4,2,1,3,0,5,5,7,3,2,5,1,4,5,1,2,5,5,1,1,3,1733.3333333
K,1,19,1,13,4,4,3,2,1,4,4,4,13,1,6,3,1,5,2,5,4,1,5,1,2,2,23166.666667
I,5,14,2,11,4,1,1,1,3,0,4,1,3,1,1,4,2,3,1,4,1,5,1,1,1,1,552.5
R,4,14,1,11,5,2,2,3,3,0,4,3,7,3,4,2,2,3,2,2,2,4,4,1,2,2,250.0
O,3,16,2,12,4,4,5,1,1,0,2,3,12,2,1,2,2,5,5,5,3,1,5,1,2,2,9275.0
F,9,13,1,9,1,2,1,1,3,0,3,1,7,2,1,2,2,4,1,5,2,5,5,2,1,0,3250.0
O,5,12,1,7,4,5,1,2,2,2,1,3,7,1,4,2,4,1,5,5,2,5,5,2,1,0,2166.6666667
F,7,13,1,9,6,4,4,1,3,0,1,2,9,1,5,2,2,2,1,5,4,5,5,1,1,1,2600.0
P,5,12,2,7,8,5,2,2,3,0,1,5,7,1,4,1,2,1,5,5,2,1,2,2,1,0,2925.0
Q,1,18,1,13,9,5,5,3,1,1,5,5,13,1,6,2,1,5,4,5,4,1,5,1,2,2,11083.333333
Q,2,16,2,12,2,1,1,1,2,0,3,2,12,2,6,2,3,3,3,5,4,1,5,1,2,1,3466.6666667
C,1,14,1,11,1,4,5,1,3,1,3,4,12,1,6,3,2,5,5,5,4,2,5,1,4,2,4583.3333333
D,2,19,2,13,4,5,5,1,3,2,2,5,13,2,1,4,2,5,3,5,5,1,1,1,5,2,3500.0
Q,3,16,2,12,8,1,1,3,1,0,3,2,9,1,3,5,2,1,2,2,3,1,5,1,1,2,4922.6666667
F,3,16,1,12,6,3,3,1,3,1,2,2,12,1,5,5,2,5,5,3,3,4,5,2,1,0,6750.0
J,2,16,1,12,6,4,4,1,3,0,4,3,12,1,6,3,3,5,4,5,4,1,5,1,4,3,5500.0
G,1,13,2,9,2,4,2,1,3,1,4,4,7,1,1,5,1,4,5,5,4,4,5,1,4,1,2531.7333333
N,3,12,2,7,3,3,1,1,1,5,3,4,7,1,6,3,1,5,5,5,3,1,5,1,5,2,3250.0
G,5,12,2,7,4,5,1,1,3,0,3,2,7,3,1,5,2,5,5,4,2,5,5,2,1,0,4496.6666667
Q,1,14,2,11,4,3,3,3,1,4,5,5,7,1,6,3,1,5,4,4,4,4,4,1,1,2,4291.6666667
C,1,16,1,12,7,4,1,1,3,3,1,2,12,1,6,4,2,3,4,4,3,2,2,1,2,2,5083.3333333
G,9,9,1,3,0,5,5,1,1,0,4,3,7,2,2,5,3,5,3,5,3,5,5,1,1,1,1568.3333333
S,3,16,1,12,4,4,3,3,2,0,4,4,12,1,3,5,2,3,4,3,3,3,5,1,1,1,2941.6666667
Q,4,14,2,11,1,1,4,3,3,0,5,2,7,3,4,4,2,2,3,5,4,1,5,1,1,2,1160.8333333
Q,2,16,2,12,8,3,1,1,1,0,2,5,11,1,5,4,1,3,4,5,4,5,5,1,2,1,6092.8
P,2,16,2,12,2,5,5,2,3,0,3,4,12,1,4,4,1,5,5,5,5,5,5,1,2,2,5416.6666667
G,9,13,1,9,5,1,1,1,1,0,2,5,7,2,1,5,1,3,2,3,2,5,2,1,1,1,2195.6666667
P,2,18,2,13,2,3,2,2,3,0,1,4,12,1,3,3,1,3,3,5,3,1,3,1,1,2,4500.0
N,9,12,2,7,1,1,1,1,3,0,1,2,1,1,1,2,3,1,1,5,3,5,5,2,1,0,780.0
J,2,16,1,12,5,4,1,1,3,0,4,3,12,2,6,4,3,5,3,5,5,1,1,1,3,3,9583.3333333
C,8,12,1,7,6,5,1,1,3,0,1,5,7,3,4,3,1,5,2,3,3,5,5,2,1,0,4833.5
G,5,14,2,11,4,5,5,1,3,0,3,4,12,2,4,5,2,4,4,5,4,1,1,1,4,2,8125.0
H,9,12,1,7,1,2,3,1,3,0,3,4,7,1,2,5,2,5,4,5,4,5,5,1,1,1,1950.0
P,5,12,1,7,4,5,1,1,1,0,4,3,7,1,1,4,2,1,1,1,4,5,1,2,1,0,216.66666667
G,4,12,1,7,4,1,1,1,3,0,1,2,7,2,1,5,1,2,1,5,1,4,4,2,1,0,935.0
N,1,12,1,7,4,4,4,1,3,2,5,5,12,1,6,3,1,4,2,5,5,1,5,1,2,2,7916.6666667
N,3,13,2,9,9,1,1,1,3,0,5,2,9,1,4,5,2,1,2,4,2,1,5,1,1,2,5777.7777778
P,5,16,2,12,3,1,1,3,2,0,1,2,7,3,6,2,4,3,5,5,2,5,3,1,1,2,684.16666667
I,9,12,1,7,1,4,5,1,3,0,4,2,7,2,1,4,3,4,3,5,4,5,5,1,1,1,1045.8333333
J,1,16,1,12,3,4,4,1,3,3,3,4,9,2,6,5,2,5,4,4,4,1,5,1,4,2,7500.0
I,1,12,1,7,4,4,4,1,3,2,4,5,11,2,5,3,1,5,4,3,3,4,5,1,2,2,2083.3333333
C,2,13,2,9,8,4,1,1,3,0,3,4,9,1,6,5,2,4,2,5,4,1,2,1,2,2,3830.7166667
G,9,12,2,7,4,3,4,2,1,0,5,3,3,1,1,2,1,3,1,5,3,5,5,2,1,0,203.58333333
Q,3,16,1,12,5,1,1,1,3,0,4,2,12,1,1,4,2,1,4,4,2,1,5,1,1,1,2220.8333333
O,3,12,1,7,6,3,1,2,3,0,4,2,9,2,5,3,1,3,1,3,1,2,5,1,1,1,5200.0
M,3,18,1,13,6,5,4,1,1,0,3,4,12,1,1,2,1,5,3,5,4,1,5,1,3,1,6216.6666667
J,2,16,1,12,5,2,1,2,2,0,3,4,12,2,6,2,2,2,2,4,4,1,5,1,5,3,9083.3333333
C,8,12,2,7,2,4,1,1,3,0,1,3,7,1,2,2,3,5,2,5,1,5,5,2,1,0,2593.3333333
M,2,21,1,14,5,3,3,3,1,1,5,5,14,1,5,3,1,5,3,4,3,1,5,1,1,3,7500.0
G,9,12,1,7,1,4,1,1,2,0,1,2,7,2,3,2,2,3,4,5,2,5,5,1,1,3,1993.3333333
M,1,14,1,11,5,4,4,1,2,3,5,5,12,1,1,3,1,5,3,5,5,1,2,1,1,2,10833.333333
F,3,12,1,7,4,5,1,1,1,1,1,3,1,1,1,2,2,5,5,4,4,5,5,2,1,0,2383.3333333
I,9,12,2,7,1,2,2,1,1,0,4,3,7,2,2,2,3,3,2,4,1,4,3,1,1,1,357.5
H,9,12,1,7,1,3,1,1,3,0,2,2,7,3,5,1,2,4,3,3,2,5,5,1,1,2,3128.0
H,9,12,1,7,1,1,1,1,1,0,1,3,7,2,1,1,3,4,2,4,1,1,1,2,1,0,2080.0
B,1,12,1,7,8,2,1,1,1,0,1,2,7,1,1,5,3,5,3,5,4,5,4,2,1,0,3008.3333333
Q,3,13,1,9,8,2,1,1,1,0,3,3,9,3,3,5,2,3,5,5,4,5,5,1,2,2,8066.6666667
I,9,12,2,7,1,5,1,1,2,1,1,1,7,1,1,2,3,5,2,2,1,5,5,2,1,0,1482.0
R,1,18,1,13,2,5,5,1,3,1,5,5,12,3,6,3,1,5,3,5,4,2,2,1,5,3,8700.0
K,1,18,1,13,5,5,3,1,1,2,2,3,12,1,5,4,2,4,3,5,4,5,5,1,5,3,18333.333333
Q,3,12,2,7,8,3,4,3,3,0,2,3,11,1,1,5,2,3,4,5,4,5,5,1,1,1,1839.3333333
I,5,9,2,3,0,1,1,1,3,0,3,4,3,1,1,3,2,3,3,3,1,5,5,1,1,1,643.5
C,1,12,2,7,4,1,2,1,3,1,2,5,7,1,1,5,2,3,2,2,2,5,5,1,1,2,1882.5
H,4,12,1,7,4,1,1,2,2,0,5,3,7,2,2,1,3,1,1,2,1,5,5,2,1,0,1896.0
K,3,14,2,11,4,4,1,1,2,0,2,3,9,2,5,3,3,4,4,2,2,1,5,1,5,1,2750.0
Q,5,6,2,2,0,1,1,1,3,0,2,2,1,1,1,1,1,1,1,1,1,1,5,2,1,0,618.33333333
J,1,16,2,12,5,5,5,1,1,4,5,5,12,1,6,2,1,5,2,5,4,1,1,1,5,3,23416.666667
I,1,16,1,12,4,4,4,1,3,4,2,3,12,1,6,2,3,5,3,5,4,5,5,1,4,2,11083.333333
O,2,18,2,13,5,3,3,2,2,0,4,5,12,1,6,3,2,4,2,3,3,2,1,1,2,2,5000.0
P,2,16,1,12,5,3,1,1,1,0,1,3,12,1,5,3,2,2,1,5,4,1,5,1,1,3,7733.3333333
H,8,13,2,9,5,1,1,1,2,0,1,3,7,2,6,5,3,1,3,5,2,1,4,1,4,1,1733.3333333
C,1,12,2,7,8,5,5,1,2,2,1,3,7,1,1,5,5,5,5,5,4,5,5,1,1,1,3291.6666667
I,5,12,2,7,8,1,1,1,3,0,3,3,1,1,5,1,3,1,5,4,1,5,5,1,1,1,1235.0
Q,3,16,2,12,3,4,1,3,2,0,3,3,12,1,5,2,4,5,5,5,1,1,5,1,1,2,2366.6666667
Q,3,14,2,11,8,4,5,1,3,0,3,4,12,2,1,1,5,5,4,5,5,1,5,1,1,1,5083.3333333
F,1,12,2,7,4,4,5,2,1,1,4,3,12,2,6,2,3,5,4,5,5,4,4,1,1,2,6250.0
P,1,18,2,13,2,4,1,1,1,5,3,4,13,2,6,2,1,4,3,5,3,5,5,1,2,2,7916.6666667
P,4,12,2,7,5,1,1,2,1,0,5,1,7,1,5,3,1,4,4,2,1,1,5,1,2,2,1070.3333333
P,1,18,1,13,4,5,4,2,2,4,3,3,13,1,6,3,1,5,4,5,5,2,5,1,3,2,7500.0
G,4,12,2,7,1,5,5,1,1,0,3,4,7,2,4,3,1,5,3,5,4,2,5,1,1,1,1491.75
C,2,16,1,12,4,5,5,1,1,0,4,4,12,1,6,4,2,5,3,5,4,1,5,1,2,2,13333.333333
J,1,18,1,13,6,4,2,2,1,2,3,4,9,1,6,5,2,4,4,4,4,4,3,1,2,1,4208.3333333
H,8,12,1,7,6,1,1,1,1,0,1,3,7,2,5,2,2,1,2,2,1,4,5,1,1,1,10250.0
I,5,16,2,12,5,2,2,1,3,0,3,3,7,2,4,5,2,4,4,5,3,3,4,1,3,2,1950.0
I,9,9,1,3,0,2,1,1,3,1,3,3,1,1,1,1,2,1,3,4,2,5,5,2,1,0,1516.6666667
U,1,19,1,13,4,3,4,3,1,2,2,4,13,1,6,1,2,4,2,4,3,1,1,1,2,2,8583.3333333
P,2,16,2,12,2,1,1,1,1,0,3,1,12,2,3,1,4,1,1,3,3,5,5,1,5,1,223.33333333
G,5,12,2,7,1,5,4,1,2,0,2,4,7,1,1,5,2,4,2,4,2,5,5,1,1,2,1572.3333333
I,9,12,2,7,1,5,1,1,1,0,3,4,7,1,1,5,1,5,5,5,1,5,5,2,1,0,2242.5
N,5,6,2,2,0,1,1,1,3,0,1,2,3,1,1,1,1,1,1,2,2,1,1,2,1,0,1733.3333333
N,5,14,2,11,4,5,5,1,1,0,1,5,12,1,1,5,1,5,4,5,3,1,5,1,5,1,1916.6666667
C,8,16,1,12,6,1,1,1,1,0,3,4,9,1,1,1,3,1,1,3,2,4,5,1,1,1,4333.3333333
F,2,16,1,12,5,5,5,1,3,0,3,3,11,1,6,5,1,5,3,5,4,3,5,1,3,3,8250.0
P,2,18,2,13,4,4,1,2,2,0,2,3,13,1,1,3,4,4,4,3,4,1,5,1,2,2,4416.6666667
G,1,16,2,12,3,5,2,1,3,1,2,3,11,2,5,4,2,5,2,5,2,5,5,1,1,2,2940.0
N,3,12,2,7,9,1,1,1,1,3,2,3,11,2,5,5,1,5,4,5,4,2,5,1,2,2,4583.3333333
N,5,13,1,9,5,4,4,1,3,0,1,1,7,1,1,2,2,1,4,4,1,3,4,1,1,2,2015.8666667
C,9,12,2,7,1,3,4,1,1,0,3,3,3,1,1,5,2,5,4,5,4,4,5,1,1,1,1916.6666667
J,7,12,2,7,1,1,2,1,3,0,3,4,7,2,6,4,1,3,3,5,3,4,4,1,2,2,2626.0
O,2,16,1,12,3,2,4,2,3,0,2,3,12,1,6,4,2,2,2,5,4,1,5,1,2,2,7000.0
M,4,12,2,7,3,2,1,1,3,0,2,2,7,1,5,5,2,5,1,5,4,1,5,1,5,1,2053.45
M,3,12,2,7,4,1,2,1,3,0,3,2,7,1,6,3,1,4,1,5,2,2,5,1,2,1,1754.1666667
P,2,21,1,14,4,3,2,3,3,0,4,5,14,1,6,3,2,4,4,5,5,1,2,1,1,2,6500.0
G,3,16,2,12,8,5,1,1,3,0,3,2,11,1,1,4,2,5,3,5,3,5,5,1,1,2,3125.0
K,1,13,2,9,8,5,5,1,2,1,1,4,7,1,5,3,4,5,5,5,2,2,5,1,1,1,2548.5
M,1,18,1,13,4,2,4,1,3,2,3,3,13,1,5,2,2,4,5,5,5,5,5,1,1,2,15000.0
K,3,21,1,14,5,5,1,1,1,0,1,1,11,1,6,3,5,1,1,4,2,5,5,1,1,2,15600.0
S,2,21,1,14,4,4,3,1,3,3,5,3,13,1,6,5,1,4,5,5,4,5,4,1,1,1,7500.0
G,9,12,1,7,1,1,1,1,3,0,1,3,7,2,1,4,2,3,2,1,2,5,5,1,1,1,1820.0
I,5,12,1,7,1,5,1,1,3,0,3,3,7,2,3,2,1,2,4,4,1,5,1,1,1,1,2600.0
O,3,18,2,13,8,5,5,2,3,0,2,4,12,3,6,5,2,5,4,3,4,1,1,1,4,1,10416.666667
C,2,16,1,12,4,5,3,1,1,0,2,3,12,2,6,5,2,3,3,5,5,2,1,1,4,3,4569.1666667
I,5,12,2,7,1,5,5,2,1,0,3,2,7,2,2,5,2,3,3,4,3,5,5,1,1,1,355.75
Q,2,16,2,12,8,1,1,2,3,0,2,4,12,1,1,3,2,5,2,5,5,5,5,1,1,2,4721.6666667
G,5,16,1,12,3,5,5,1,3,1,2,3,7,2,3,4,2,4,4,4,3,3,3,1,1,1,2600.0
M,2,19,2,13,4,5,5,3,1,0,3,4,13,1,1,5,1,5,4,5,5,1,5,1,2,2,3666.6666667
G,8,12,1,7,9,5,5,1,1,0,1,2,7,1,1,5,2,5,2,4,2,5,5,1,1,2,7083.3333333
Q,3,14,1,11,1,5,2,3,2,0,3,3,7,2,2,4,2,3,2,3,2,5,2,2,1,0,3000.0
Q,3,12,2,7,8,5,5,1,2,0,5,5,7,1,3,5,1,5,5,5,4,5,5,1,1,2,1818.3333333
M,3,16,1,12,5,1,3,1,1,0,2,4,12,2,4,4,4,4,4,5,4,2,5,1,1,2,3170.0
I,5,12,2,7,6,5,1,2,3,0,3,2,7,2,3,1,2,5,2,1,5,5,1,1,1,1,3033.3333333
H,8,16,2,12,3,5,5,2,3,0,3,3,7,2,1,1,5,5,2,5,2,5,5,1,1,1,3830.0
I,9,6,2,1,0,4,3,1,3,0,4,3,2,1,1,4,3,3,3,5,3,5,5,1,1,1,197.6
C,7,9,1,3,0,1,1,2,3,0,1,1,3,1,3,5,2,1,5,2,2,5,5,1,1,1,2426.6666667
O,7,13,1,9,6,1,1,2,3,0,2,3,9,1,5,1,4,4,2,5,2,3,5,1,1,1,3504.0
N,9,9,2,3,0,1,1,1,1,0,5,4,1,1,1,3,2,2,2,1,1,5,5,1,1,1,2426.6666667
H,4,12,2,7,2,5,5,2,2,0,1,2,7,2,1,2,2,5,1,5,1,5,5,1,1,1,4800.0
K,3,16,1,12,5,1,1,3,1,0,2,4,12,1,5,5,2,3,4,5,5,1,1,1,4,3,4500.0
O,2,12,2,7,4,1,1,2,1,0,1,3,7,2,3,3,3,2,3,2,2,3,3,1,1,2,200.0
Q,3,12,2,7,8,5,2,1,3,2,5,5,7,2,5,2,4,5,3,5,5,1,1,1,1,2,2166.6666667
O,2,16,1,12,5,5,5,2,3,0,2,4,12,1,3,5,2,5,5,4,5,4,5,1,1,2,2916.6666667
G,3,12,2,7,4,2,4,1,3,1,3,4,7,1,5,2,2,2,3,3,2,2,5,1,1,2,2773.3333333
H,4,19,1,13,7,1,1,1,1,0,4,3,13,1,1,5,1,2,5,3,1,1,1,2,1,0,5833.3333333
K,3,16,2,12,4,5,1,1,1,0,1,1,11,2,3,5,3,2,4,5,5,1,5,1,5,2,3358.3333333
F,3,18,2,13,3,4,4,1,1,1,3,5,11,2,6,5,1,5,3,4,2,1,5,1,2,2,5041.6666667
C,2,16,1,12,6,5,4,1,1,3,5,5,12,1,5,5,1,5,4,5,4,4,5,1,2,2,5833.3333333
R,3,16,2,12,5,2,1,1,3,1,4,3,12,1,3,3,2,4,3,4,3,3,5,1,1,1,2047.5
Q,5,12,2,7,1,1,1,1,3,1,3,3,7,2,2,3,4,1,4,2,1,1,5,1,1,1,1516.6666667
O,2,18,2,13,8,5,5,2,3,0,2,2,12,3,6,5,1,4,5,5,4,4,5,1,3,2,5916.6666667
Q,2,14,2,11,8,1,1,3,1,1,3,4,12,2,5,4,1,5,4,5,4,5,5,1,2,2,4566.6666667
K,1,18,1,13,4,5,3,1,3,0,4,4,13,1,6,4,2,3,3,5,4,1,5,1,3,2,31666.666667
Q,2,16,2,12,8,1,1,3,3,0,2,2,12,1,5,2,2,4,3,5,1,5,5,1,1,1,10920.0
P,2,16,2,12,2,5,5,1,2,1,2,3,12,1,5,4,4,5,5,5,4,4,5,1,2,2,3158.3333333
F,7,6,1,2,0,1,1,1,3,0,1,1,3,3,6,5,2,1,1,5,3,5,5,2,1,0,2166.6666667
I,1,12,1,7,6,5,5,1,1,3,4,4,7,1,4,5,3,5,5,5,5,5,5,1,1,1,1152.6666667
C,9,9,1,3,0,1,1,1,1,0,1,2,7,3,6,3,1,1,2,3,5,5,5,2,1,0,1733.3333333
P,2,21,2,14,2,4,2,1,3,2,4,5,14,1,6,3,1,4,5,5,3,1,4,1,3,2,8500.0
Q,2,12,2,7,4,5,4,1,1,0,3,3,12,2,6,5,1,5,4,4,4,2,5,1,2,2,4706.75
Q,5,13,2,9,1,5,5,3,2,0,1,3,7,1,5,3,2,5,5,5,2,5,5,2,1,0,520.0
J,3,14,1,11,5,1,1,1,2,0,2,3,11,1,5,2,2,2,1,5,4,2,5,1,3,3,3116.6666667
P,3,14,2,11,1,5,4,3,1,0,2,4,12,2,5,2,2,4,5,4,3,1,5,1,1,1,3000.0
